state,state_po,county_name,percent_republican
GEORGIA,GA,HARRIS,0.7233062659071627
GEORGIA,GA,HART,0.7201739646140161
GEORGIA,GA,HEARD,0.7980108927302866
GEORGIA,GA,HENRY,0.46295283802118137
GEORGIA,GA,HOUSTON,0.5897235306845986
GEORGIA,GA,IRWIN,0.7400544959128066
GEORGIA,GA,JACKSON,0.8011769032732622
GEORGIA,GA,JASPER,0.7212572373862697
GEORGIA,GA,JEFF DAVIS,0.8053375196232339
GEORGIA,GA,JEFFERSON,0.4395809414466131
GEORGIA,GA,JENKINS,0.6200916230366492
GEORGIA,GA,JOHNSON,0.6833966359196961
GEORGIA,GA,JONES,0.6617002629272568
GEORGIA,GA,LAMAR,0.6818181818181818
GEORGIA,GA,LANIER,0.6910484151863462
GEORGIA,GA,LAURENS,0.635483870967742
GEORGIA,GA,LEE,0.7527398713144312
GEORGIA,GA,LIBERTY,0.3799789382394846
GEORGIA,GA,LINCOLN,0.6725987323256948
GEORGIA,GA,LONG,0.6378430896283702
GEORGIA,GA,LOWNDES,0.572278799100648
GEORGIA,GA,LUMPKIN,0.7741649899396378
GEORGIA,GA,MCDUFFIE,0.5861027190332326
GEORGIA,GA,MCINTOSH,0.5907165847873962
GEORGIA,GA,MACON,0.3592255656636342
GEORGIA,GA,MADISON,0.7668778129688282
GEORGIA,GA,MARION,0.6021943573667712
GEORGIA,GA,MERIWETHER,0.566561788000434
GEORGIA,GA,MILLER,0.7433176100628931
GEORGIA,GA,MITCHELL,0.5430203045685279
GEORGIA,GA,MONROE,0.6961456609127453
GEORGIA,GA,MONTGOMERY,0.7466442953020134
GEORGIA,GA,MORGAN,0.6922427440633245
GEORGIA,GA,MURRAY,0.830069031947343
GEORGIA,GA,MUSCOGEE,0.3907752926179163
GEORGIA,GA,NEWTON,0.4754359242503467
GEORGIA,GA,OCONEE,0.6662861680480421
GEORGIA,GA,OGLETHORPE,0.6929877135151333
GEORGIA,GA,PAULDING,0.6882724610879951
GEORGIA,GA,PEACH,0.5034412202380952
GEORGIA,GA,PICKENS,0.8299615329819062
GEORGIA,GA,PIERCE,0.8619887840240733
GEORGIA,GA,PIKE,0.8341547277936963
GEORGIA,GA,POLK,0.7748153359127682
GEORGIA,GA,PULASKI,0.676005547850208
GEORGIA,GA,PUTNAM,0.6897133220910624
GEORGIA,GA,QUITMAN,0.5507662835249042
GEORGIA,GA,RABUN,0.7866616616616616
GEORGIA,GA,RANDOLPH,0.43842704380820974
GEORGIA,GA,RICHMOND,0.3239223995232735
GEORGIA,GA,ROCKDALE,0.355911167445668
GEORGIA,GA,SCHLEY,0.7710843373493976
GEORGIA,GA,SCREVEN,0.5783027121609798
GEORGIA,GA,SEMINOLE,0.6535674470457079
GEORGIA,GA,SPALDING,0.6086990351696234
GEORGIA,GA,STEPHENS,0.7830871115639327
GEORGIA,GA,STEWART,0.391156462585034
GEORGIA,GA,SUMTER,0.4807727355567705
GEORGIA,GA,TALBOT,0.36845348120764015
GEORGIA,GA,TALIAFERRO,0.3890746934225195
GEORGIA,GA,TATTNALL,0.7382297551789078
GEORGIA,GA,TAYLOR,0.6056338028169014
GEORGIA,GA,TELFAIR,0.6454162276080084
GEORGIA,GA,TERRELL,0.44736213893530674
GEORGIA,GA,THOMAS,0.5971705137751303
GEORGIA,GA,TIFT,0.6740277094029116
GEORGIA,GA,TOOMBS,0.7239001969796455
GEORGIA,GA,TOWNS,0.7958308693081018
GEORGIA,GA,TREUTLEN,0.6692563817980022
GEORGIA,GA,TROUP,0.6031940561449197
GEORGIA,GA,TURNER,0.6165391406709829
GEORGIA,GA,TWIGGS,0.5013550135501355
GEORGIA,GA,UNION,0.8167122606316837
GEORGIA,GA,UPSON,0.6669105542344979
GEORGIA,GA,WALKER,0.7910335615294707
GEORGIA,GA,WALTON,0.7647795960489459
GEORGIA,GA,WARE,0.6987032173342088
GEORGIA,GA,WARREN,0.4245929734361611
GEORGIA,GA,WASHINGTON,0.49036756884529015
GEORGIA,GA,WAYNE,0.7829636031883223
GEORGIA,GA,WEBSTER,0.5645161290322581
