,state,county,percent_vac
486,GA,MILLER,0.432
487,GA,MITCHELL,0.366
488,GA,MONROE,0.381
489,GA,MONTGOMERY,0.282
490,GA,MORGAN,0.398
491,GA,MURRAY,0.301
492,GA,MUSCOGEE,0.36
493,GA,NEWTON,0.358
494,GA,OCONEE,0.522
495,GA,OGLETHORPE,0.371
496,GA,PAULDING,0.317
497,GA,PEACH,0.385
498,GA,PICKENS,0.385
499,GA,PIERCE,0.276
500,GA,PIKE,0.266
501,GA,POLK,0.313
502,GA,PULASKI,0.305
503,GA,PUTNAM,0.37
504,GA,QUITMAN,0.331
505,GA,RABUN,0.418
506,GA,RANDOLPH,0.386
507,GA,RICHMOND,0.35
508,GA,ROCKDALE,0.441
509,GA,SCHLEY,0.272
510,GA,SCREVEN,0.383
511,GA,SEMINOLE,0.372
512,GA,SPALDING,0.341
513,GA,STEPHENS,0.346
514,GA,STEWART,0.274
515,GA,SUMTER,0.429
516,GA,TALBOT,0.414
517,GA,TALIAFERRO,0.401
518,GA,TATTNALL,0.275
519,GA,TAYLOR,0.379
520,GA,TELFAIR,0.229
521,GA,TERRELL,0.466
522,GA,THOMAS,0.406
523,GA,TIFT,0.341
524,GA,TOOMBS,0.323
525,GA,TOWNS,0.458
526,GA,TREUTLEN,0.254
527,GA,TROUP,0.301
528,GA,TURNER,0.42
529,GA,TWIGGS,0.454
530,GA,UNION,0.415
531,GA,UPSON,0.37
532,GA,WALKER,0.283
533,GA,WALTON,0.352
534,GA,WARE,0.32
535,GA,WARREN,0.408
536,GA,WASHINGTON,0.363
537,GA,WAYNE,0.295
538,GA,WEBSTER,0.382
539,GA,WHEELER,0.202
540,GA,WHITE,0.314
541,GA,WHITFIELD,0.374
542,GA,WILCOX,0.304
543,GA,WILKES,0.401
544,GA,WILKINSON,0.438
545,GA,WORTH,0.346
546,HI,HAWAII,0.673
547,HI,HONOLULU,0.701
549,HI,KAUAI,0.642
550,HI,MAUI,0.63
551,IA,ADAIR,0.443
552,IA,ADAMS,0.477
553,IA,ALLAMAKEE,0.463
554,IA,APPANOOSE,0.413
