county,num_hosp,num_not_hosp,num_infected,percent_hosp,percent_republican,state,date_stay_at_home_effective,lat,lon,total_population,population_density_per_sqmi,percent_adults_with_obesity,percent_physically_inactive,percent_uninsured,primary_care_physicians_rate,high_school_graduation_rate,percent_some_college,percent_unemployed_CDC,median_household_income,per_capita_income,num_deaths,percent_vaccinated,eightieth_percentile_income,twentieth_percentile_income,percent_food_insecure,percent_age_65_and_older,percent_age_17_and_younger
MIDLAND,312,5378,5690,0.0548330404217926,0.5610031524961182,MICHIGAN,2020-03-24,43.6468497082629,-84.3881216202919,83559,161.855459090167,38.0,21.0,5.0056027365,92.31396,93.811074919,72.604737716,7.6,58057.0,31135.0,894.0,51.0,115605.0,25762.0,10.9,16.3,22.0
DUPAGE,6304,60004,66308,0.0950714845870784,0.3881227420825666,ILLINOIS,2020-03-21,41.8519548712588,-88.0856393697199,930514,2841.1124920084,26.9,18.1,6.3975946593,134.92767,94.307007076,78.397037174,6.1,93540.0,40547.0,7045.0,52.0,166159.0,39243.0,6.7,13.4,23.5
WOODWARD,136,1247,1383,0.0983369486623282,0.8356813693219223,OKLAHOMA,,36.4226267684075,-99.2650267550374,21111,16.9921336897428,29.8,31.8,17.713295799,48.87824,86.993927126,48.311461067,4.3,55134.0,27308.0,302.0,45.0,105491.0,26639.0,12.4,13.9,25.2
DICKINSON,51,1534,1585,0.0321766561514195,0.6517280668439043,MICHIGAN,2020-03-24,46.0093379300328,-87.87022028936,25889,34.0018204236425,24.4,21.0,5.9984813971,90.49774,89.138576779,70.641691395,6.9,52348.0,25136.0,347.0,41.0,95745.0,20732.0,12.1,20.7,20.1
FLORENCE,1228,11410,12638,0.0971672733027377,0.5104866133848889,SOUTH CAROLINA,,34.0243997832364,-79.702809697013,138575,173.226828162263,38.2,32.1,11.472648284,101.03489,85.427135678,57.116594376,10.5,47949.0,23420.0,2510.0,43.0,92528.0,18436.0,16.5,15.0,24.2
JOHNSTON,673,12990,13663,0.0492571177633023,0.6329022570394255,NORTH CAROLINA,2020-03-30,35.5178308268544,-78.3657114640982,182155,230.213344713216,37.2,27.4,14.008850548,27.96023,91.8,62.772912787,7.6,60296.0,23171.0,2379.0,53.0,106140.0,25587.0,12.2,12.2,26.5
WILSON,325,6083,6408,0.0507178526841448,0.6945746818486269,TENNESSEE,2020-03-31,36.1548632615673,-86.2977385364353,125616,219.967799874949,37.2,21.0,8.6157360933,32.24813,96.183206107,68.945978819,5.4,76507.0,29762.0,1735.0,54.0,128443.0,32495.0,9.2,14.5,24.2
BERKELEY,452,9982,10434,0.0433199156603411,0.56072286429317,SOUTH CAROLINA,,33.1976857074966,-79.950997369777,199081,181.159032006955,35.0,25.1,11.780302003,31.20168,83.479061206,65.55250043,8.0,62204.0,25992.0,2616.0,47.0,107550.0,27960.0,11.2,12.2,24.4
SUMNER,701,6111,6812,0.1029066353493834,0.7010558702188658,TENNESSEE,2020-03-31,36.4693818131831,-86.46038030791,172786,326.398092849791,31.1,32.1,9.8000849607,49.0343,94.664125774,66.493764724,5.3,66171.0,29313.0,2412.0,52.0,119670.0,30338.0,9.7,14.6,24.4
WAKULLA,106,1398,1504,0.0704787234042553,0.6847762360758257,FLORIDA,2020-04-03,30.1673301257506,-84.4006658658169,31314,51.6373460467063,39.5,29.9,12.397440105,31.13325,87.536231884,50.164907652,7.1,58203.0,22129.0,481.0,38.0,101115.0,28574.0,13.5,12.9,21.0
DUNN,152,2215,2367,0.0642163075623151,0.5200307817663302,WISCONSIN,2020-03-25,44.9465681564311,-91.8964226059861,44348,52.1647087142735,41.6,18.9,5.9741750359,60.41215,90.147783251,69.721967614,5.5,57506.0,25120.0,427.0,55.0,102817.0,25641.0,10.2,14.7,19.9
FAIRFIELD,145,1359,1504,0.0964095744680851,0.3574154610810331,SOUTH CAROLINA,,34.3951043958737,-81.1212354151289,23025,33.5506046303265,42.4,36.6,11.693112666,39.81068,90.957446809,50.762066046,10.8,39522.0,20762.0,489.0,29.0,79572.0,13965.0,19.6,17.9,20.4
NORFOLK,1928,11332,13260,0.1453996983408748,0.3311271649122418,MASSACHUSETTS,2020-03-24,42.155804424889,-71.2229878171407,691218,1745.09131616342,23.2,19.9,2.2627241308,126.94161,93.281733787,82.873652603,6.3,100184.0,47306.0,6099.0,56.0,191377.0,39971.0,7.2,15.7,21.7
WABASHA,76,101,177,0.4293785310734463,0.5906862745098039,MINNESOTA,2020-03-27,44.2843042001658,-92.2302780147201,21327,40.7843754706314,36.5,25.5,4.6958062611,74.04665,91.34,66.69569003,3.4,63633.0,31464.0,213.0,50.0,114631.0,30202.0,7.1,18.8,22.4
MESA,809,9017,9826,0.0823325870140443,0.6410441322292764,COLORADO,2020-03-26,39.018303228672,-108.466444931953,148166,44.5084990445201,23.5,15.6,9.5414318846,110.80625,77.603583427,62.9937574,8.7,51132.0,26731.0,1952.0,48.0,100152.0,21784.0,12.9,16.8,22.4
EFFINGHAM,65,109,174,0.3735632183908046,0.7619575411373518,GEORGIA,2020-04-03,32.3672915090726,-81.3413562004732,55852,116.917612787814,39.9,35.1,13.605184371,25.0075,91.252955083,57.479489236,6.0,65793.0,25553.0,840.0,39.0,117169.0,30234.0,9.6,10.6,27.1
JACKSON,198,2545,2743,0.0721837404301859,0.7265756225808807,OHIO,2020-03-23,39.0196647212975,-82.6184216555326,32717,77.8413371223303,39.4,34.5,7.852046564,40.06287,94.25,54.841103005,11.2,44726.0,20583.0,697.0,47.0,81050.0,18368.0,16.2,15.7,24.2
BOONE,138,2076,2214,0.062330623306233,0.7594190304760723,ARKANSAS,,36.3085968435502,-93.0915400605962,37301,63.1866086673998,34.4,30.2,8.6164801628,74.90436,92.592592593,59.392393321,8.4,44482.0,21719.0,617.0,46.0,84500.0,20876.0,14.6,19.7,22.2
GARVIN,237,2510,2747,0.0862759373862395,0.782571591124597,OKLAHOMA,,34.7045667058691,-97.3093353150865,27570,34.3738895831086,34.8,35.8,18.654973337,32.24766,84.266581633,43.825055597,4.1,47858.0,22208.0,557.0,50.0,89220.0,19149.0,15.3,17.2,25.0
FULTON,238,2596,2834,0.0839802399435427,0.6458892815076561,OHIO,2020-03-23,41.6018242360357,-84.1300862271085,42466,104.740095183874,31.0,26.8,6.4519829094,37.8349,93.042071197,63.277012933,6.2,62800.0,27010.0,556.0,53.0,105169.0,28739.0,10.4,16.2,24.6
TWIN FALLS,772,6408,7180,0.1075208913649025,0.6637209613710919,IDAHO,2020-03-25,42.3559879246625,-114.667143267676,80955,42.1253944807105,32.8,24.2,13.977480647,69.31065,79.63800905,61.919462478,4.4,51594.0,21682.0,975.0,47.0,93163.0,23300.0,11.7,14.8,27.6
DAKOTA,2564,1166,3730,0.6873994638069705,0.4302756653992395,MINNESOTA,2020-03-27,44.6718763992625,-93.0654406687124,411402,731.461703600009,28.5,18.2,3.9094864432,66.15278,86.08,78.704072759,4.4,86403.0,37266.0,3147.0,53.0,149215.0,39377.0,7.3,12.1,25.0
CHEMUNG,15,76,91,0.1648351648351648,0.5564107533431158,NEW YORK,2020-03-22,42.1412645331032,-76.7600292212066,87742,215.395740809401,36.0,28.2,4.1758673886,75.97274,75.774336283,59.817152808,5.6,52565.0,26196.0,1274.0,52.0,101540.0,21774.0,12.5,16.8,21.9
