state,county,infection_rate,percent_vac,percent_republican,date_stay_at_home_effective,lat,lon,total_population,population_density_per_sqmi,percent_adults_with_obesity,percent_physically_inactive,percent_uninsured,primary_care_physicians_rate,high_school_graduation_rate,percent_some_college,percent_unemployed_CDC,median_household_income,per_capita_income,num_deaths,eightieth_percentile_income,twentieth_percentile_income,percent_below_poverty,percent_age_65_and_older,percent_age_17_and_younger
ALABAMA,FAYETTE,0.1411483253588516,0.306,0.813674384773912,2020-04-04,33.7212302642574,-87.7388663868369,16783,26.7380007690964,41.0,33.7,11.459956373,97.15812,91.803278689,52.331743508,8.8,39254.0,20201.0,342.0,76052.0,15425.0,17.3,19.5,21.5
ALABAMA,FRANKLIN,0.1512977488680568,0.393,0.7862126245847176,2020-04-04,34.4416987415131,-87.8437398551369,31573,49.8140929458345,34.3,38.1,15.3034504,44.4515,92.105263158,41.067168864,9.7,39388.0,18193.0,531.0,80837.0,18366.0,22.3,16.0,24.3
ALABAMA,GENEVA,0.1156408206767919,0.334,0.8499744854567103,2020-04-04,31.0950591970446,-85.8390912462457,26765,46.5957910877853,38.7,36.8,14.07272901,30.27894,90.287769784,43.35687305,10.3,37823.0,20189.0,569.0,78554.0,15768.0,22.8,19.0,22.2
ALABAMA,GREENE,0.1237825175687338,0.469,0.1717213114754098,2020-04-04,32.8531567358996,-87.9522131020639,8587,13.2698809606746,35.5,18.3,11.446345257,48.01921,77.528089888,50.282167043,18.2,28524.0,13679.0,184.0,54552.0,9281.0,37.9,18.0,23.2
ALABAMA,HALE,0.1642891270220463,0.535,0.3946517412935323,2020-04-04,32.7626697338447,-87.6291511506437,15159,23.540914962685,40.4,27.8,10.560162464,20.25385,91.282051282,46.728971963,12.1,34724.0,19296.0,312.0,72247.0,11356.0,25.9,17.7,23.5
ALABAMA,HENRY,0.1333914559721011,0.399,0.6977205153617443,2020-04-04,31.5147100821191,-85.2414182671998,17187,30.5954564800358,36.3,35.4,12.187736563,29.15962,97.905759162,53.465085639,7.5,46027.0,22825.0,332.0,92359.0,18855.0,15.3,20.6,21.1
ALABAMA,HOUSTON,0.1205587351957839,0.378,0.7206547995966134,2020-04-04,31.1532056661362,-85.3024767547949,103891,179.16377189043,38.1,30.6,11.070223497,84.33481,90.917431193,59.288537549,8.1,47993.0,24086.0,1637.0,95176.0,18511.0,18.9,16.0,23.8
ALABAMA,JACKSON,0.1457017781737884,0.415,0.79451010293557,2020-04-04,34.7794728354736,-85.9993509729766,52608,48.807506946656,38.7,29.1,13.050941708,53.94055,90.117252931,44.67778134,8.6,41929.0,20487.0,1126.0,78124.0,15499.0,18.8,18.5,21.7
ALABAMA,JEFFERSON,0.1342842782804639,0.535,0.4430374337176314,2020-04-04,33.554319742462,-86.8964957084218,659096,593.091932779715,34.6,30.1,10.049484847,107.5551,88.73381114,68.1047602,8.2,55013.0,28162.0,11214.0,107340.0,20100.0,18.1,14.3,23.1
ALABAMA,LAMAR,0.1118435349511046,0.37,0.8359173126614987,2020-04-04,33.7791478450799,-88.0969592328537,14066,23.2555056602555,35.7,36.5,11.531698288,,94.285714286,52.603823336,9.5,40936.0,20206.0,290.0,75451.0,14943.0,23.9,20.2,21.7
ALABAMA,LAUDERDALE,0.1142361073666274,0.437,0.7058570524984187,2020-04-04,34.9014132850946,-87.6540149813345,92641,138.746578714391,32.5,28.5,11.285158773,50.78995,94.385285576,59.327000331,7.6,48707.0,24893.0,1553.0,89714.0,19834.0,18.3,18.3,20.5
ALABAMA,LAWRENCE,0.1005345644514639,0.409,0.730528019421404,2020-04-04,34.5216828660879,-87.3109941458565,33433,48.4061183870748,32.6,36.4,14.028629857,15.12905,88.055555556,48.394783045,8.3,43909.0,21911.0,666.0,94296.0,19238.0,18.3,16.2,21.9
ALABAMA,LEE,0.1080757496566226,0.351,0.5848355324289165,2020-04-04,32.6011520958516,-85.3554754125552,153947,253.389133599536,29.9,21.3,10.350184992,52.59771,91.143028127,72.652780087,6.1,48937.0,24951.0,1701.0,103546.0,16341.0,23.0,10.3,21.8
ALABAMA,LIMESTONE,0.1119547085881817,0.31,0.7213729091179828,2020-04-04,34.8101055627959,-86.9814061176911,90257,161.190715660087,33.9,29.3,11.014042165,33.89759,92.007434944,58.79575447,7.9,64863.0,26086.0,1258.0,111527.0,21752.0,14.1,13.9,23.4
ALABAMA,LOWNDES,0.1516553567756529,0.474,0.2619688809096349,2020-04-04,32.1547538945184,-86.650102951271,10565,14.7574175295662,46.9,33.7,10.822831727,9.92457,91.304347826,35.206470839,12.3,33973.0,18434.0,249.0,76397.0,11793.0,28.7,17.3,23.2
ALABAMA,MACON,0.0971330529112242,0.441,0.1565645514223194,2020-04-04,32.3859650550022,-85.6926570325556,19684,32.326726094371,49.6,32.3,10.554682237,37.32338,80.0,56.03470944,15.0,32495.0,18385.0,431.0,74309.0,11007.0,25.5,16.7,18.0
ALABAMA,MADISON,0.1032021216972505,0.546,0.5478949011255347,2020-04-04,34.7630964591462,-86.550230730226,349973,436.588488141541,32.9,22.0,9.4393471314,88.35439,93.194374686,73.195343377,7.3,63755.0,33264.0,4805.0,130336.0,24871.0,13.3,13.7,22.5
ALABAMA,MARENGO,0.1421300959550442,0.484,0.4759869019465162,2020-04-04,32.2476712356044,-87.7895430742731,20066,20.5408757762514,42.2,32.4,9.7974289053,36.12903,90.909090909,50.736425588,14.1,37733.0,20359.0,415.0,77137.0,10307.0,27.8,18.6,23.1
ALABAMA,MARION,0.1206705038877107,0.316,0.8682994454713494,2020-04-04,34.1365641231201,-87.8871385572087,30239,40.7373540946116,36.8,31.3,11.408083442,33.51993,90.217391304,55.606441129,7.6,37887.0,20998.0,620.0,74517.0,15563.0,18.6,20.1,21.1
ALABAMA,MARSHALL,0.1400582801165602,0.378,0.8277551251557368,2020-04-04,34.3669625649157,-86.3066442788053,94534,167.067902120766,34.4,36.2,15.643576987,55.4695,92.289348172,52.029932909,7.2,46233.0,21767.0,1777.0,90033.0,18310.0,20.5,16.4,24.7
ALABAMA,MOBILE,0.1258004404540064,0.421,0.5506405691889983,2020-04-04,30.7915214474844,-88.2064769202696,414291,336.98647823568,36.3,30.6,11.719890151,67.15706,83.709920379,59.526485353,8.7,43598.0,23318.0,7126.0,95084.0,18037.0,19.5,14.5,24.0
ALABAMA,MONROE,0.1040852746828727,0.393,0.564209911401032,2020-04-04,31.5708847401232,-87.3654355258009,21975,21.4246648551755,41.8,33.7,12.789735099,37.51114,88.030888031,40.808902204,21.8,39556.0,16556.0,419.0,75904.0,9034.0,32.1,17.8,23.4
ALABAMA,MONTGOMERY,0.1187004936287452,0.488,0.3546486159494357,2020-04-04,32.2202691815894,-86.2076234130588,227392,289.906543288055,37.7,28.7,11.005422221,97.50889,81.608133087,62.194804773,8.4,49640.0,26255.0,3323.0,100500.0,18312.0,21.3,13.3,23.2
ALABAMA,MORGAN,0.1294546244537471,0.383,0.7401863991785799,2020-04-04,34.4534749886009,-86.8529474423102,119555,206.357195308012,32.4,26.6,11.560252216,48.81415,90.196078431,55.908753459,8.9,52797.0,24415.0,1988.0,96011.0,20893.0,16.3,15.8,23.2
ALABAMA,PERRY,0.1263028129552841,0.437,0.26657824933687,2020-04-04,32.6384681745508,-87.2944118630526,9856,13.6952948308391,43.4,34.6,11.480988312,32.12335,93.069306931,54.639709694,11.7,26814.0,14033.0,204.0,48123.0,10207.0,39.8,18.9,22.5
ALABAMA,PICKENS,0.1258404415454089,0.432,0.5717878851393837,2020-04-04,33.2808008318267,-88.0887563547337,20042,22.7380536706857,34.9,25.5,11.607203534,39.65107,98.181818182,53.347947389,12.3,37586.0,19188.0,327.0,81049.0,13921.0,23.9,17.9,20.9
ALABAMA,PIKE,0.1046989188862716,0.362,0.5842193195625759,2020-04-04,31.802733152114,-85.9409376335061,33277,49.5117075946977,36.2,27.8,12.916650758,48.09571,87.285223368,59.649842703,9.7,37259.0,20180.0,521.0,83247.0,11972.0,25.7,14.3,20.0
ALABAMA,RANDOLPH,0.0920693600915412,0.293,0.756356140178659,2020-04-04,33.29379107876,-85.459133229405,22615,38.9544945458554,37.4,34.2,13.227662455,30.87781,91.80887372,49.543831813,8.0,40546.0,19584.0,460.0,76728.0,15073.0,20.6,19.4,22.2
ALABAMA,RUSSELL,0.0851779644933662,0.348,0.4782924802658911,2020-04-04,32.2884021180542,-85.1849287909993,58636,91.4539065278078,45.1,31.5,11.304654005,26.29503,88.145896657,61.467441149,9.4,39104.0,20760.0,1098.0,82735.0,15915.0,21.5,12.6,25.1
ALABAMA,SHELBY,0.1299436844861324,0.328,0.7211566950441464,2020-04-04,33.2642846545185,-86.6606694053854,205951,262.234818984604,35.0,25.0,7.8591340516,80.52246,94.221585482,76.467547284,4.6,75663.0,34117.0,2188.0,136513.0,32658.0,8.5,13.0,24.4
ALABAMA,ST. CLAIR,0.1250335150594333,0.341,0.8242447916666666,2020-04-04,33.7156992671048,-86.3147091591381,86576,137.008095115931,36.6,30.7,10.041068328,17.007,88.405797101,55.491864721,6.4,57284.0,24474.0,1519.0,98954.0,23476.0,13.7,15.2,23.0
