,state,county,infection_rate,percent_vac
305,CO,WELD,0.1081136052660774,0.514
306,CO,YUMA,0.0984130152709851,0.378
307,CT,FAIRFIELD,0.1086414963130689,0.739
308,CT,HARTFORD,0.0976696720943794,0.68
309,CT,LITCHFIELD,0.0832737213932003,0.693
310,CT,MIDDLESEX,0.0817491196532788,0.767
311,CT,NEW HAVEN,0.1111321697277705,0.692
312,CT,NEW LONDON,0.0879618108187597,0.699
313,CT,TOLLAND,0.0657705296541291,0.609
314,CT,WINDHAM,0.0961021390282749,0.567
315,DC,DISTRICT OF COLUMBIA,0.0730982261398882,0.651
316,DE,KENT,0.104659652849225,0.473
317,DE,NEW CASTLE,0.1193765402601865,0.624
318,DE,SUSSEX,0.1157562173124132,0.617
319,FL,ALACHUA,0.1083618603717621,0.594
320,FL,BAKER,0.1579938377268059,0.32
321,FL,BAY,0.1426175553075183,0.438
322,FL,BRADFORD,0.1377256125669302,0.382
323,FL,BREVARD,0.0918759614713709,0.578
324,FL,BROWARD,0.1435918471019235,0.65
325,FL,CALHOUN,0.1511520737327188,0.315
326,FL,CHARLOTTE,0.0811444603250225,0.654
327,FL,CITRUS,0.0905604148152107,0.521
328,FL,CLAY,0.1149316767920018,0.435
329,FL,COLLIER,0.1084977474785789,0.648
330,FL,COLUMBIA,0.1422732472170298,0.36
331,FL,DESOTO,0.1255756427462435,0.422
332,FL,DIXIE,0.1157137762985855,0.336
333,FL,DUVAL,0.138254564058658,0.528
334,FL,ESCAMBIA,0.1198683069654054,0.465
335,FL,FLAGLER,0.0837844648551889,0.583
336,FL,FRANKLIN,0.1287422680412371,0.412
337,FL,GADSDEN,0.1443495400788436,0.511
338,FL,GILCHRIST,0.1075234097513723,0.311
339,FL,GLADES,0.0759539497501991,0.271
340,FL,GULF,0.1777256397096561,0.452
341,FL,HAMILTON,0.1304408095370113,0.313
342,FL,HARDEE,0.145116382670676,0.339
343,FL,HENDRY,0.1276474227785445,0.405
344,FL,HERNANDO,0.0951474834983498,0.478
345,FL,HIGHLANDS,0.0939362272996865,0.505
346,FL,HILLSBOROUGH,0.1164495423813561,0.553
347,FL,HOLMES,0.1315185808227557,0.272
348,FL,INDIAN RIVER,0.0960087041888909,0.648
349,FL,JACKSON,0.1637436980221485,0.391
350,FL,JEFFERSON,0.1194019373859329,0.586
351,FL,LAFAYETTE,0.2106388031346473,0.329
352,FL,LAKE,0.1026590905376473,0.598
353,FL,LEE,0.108056689986854,0.565
354,FL,LEON,0.1270173239503784,0.513
355,FL,LEVY,0.1065706093535407,0.409
356,FL,LIBERTY,0.1574096241321522,0.312
357,FL,MADISON,0.1288595684853728,0.4
358,FL,MANATEE,0.1118503768105878,0.557
359,FL,MARION,0.1052221270915451,0.501
360,FL,MARTIN,0.0933043478260869,0.603
361,FL,MIAMI-DADE,0.206514313897252,0.774
362,FL,MONROE,0.1043137360564746,0.724
363,FL,NASSAU,0.12911706629055,0.517
364,FL,OKALOOSA,0.1137668574248593,0.49
365,FL,OKEECHOBEE,0.1132849554164295,0.398
366,FL,ORANGE,0.1234251341273326,0.612
367,FL,OSCEOLA,0.1447926951624879,0.629
368,FL,PALM BEACH,0.1138885733947099,0.602
369,FL,PASCO,0.094944101150471,0.519
370,FL,PINELLAS,0.0971952705446996,0.588
371,FL,POLK,0.1197071651004377,0.487
372,FL,PUTNAM,0.1143436078420847,0.366
373,FL,ST. JOHNS,0.1120141155845726,0.618
374,FL,ST. LUCIE,0.102227556145807,0.521
375,FL,SANTA ROSA,0.1155480080081166,0.444
376,FL,SARASOTA,0.0866482840029326,0.684
377,FL,SEMINOLE,0.0947150008689644,0.54
378,FL,SUMTER,0.0808865730252227,0.774
379,FL,SUWANNEE,0.1405092644708107,0.327
380,FL,TAYLOR,0.139320320830822,0.348
381,FL,UNION,0.1508170899783422,0.406
382,FL,VOLUSIA,0.1019512583049573,0.542
383,FL,WAKULLA,0.1241589851507157,0.418
384,FL,WALTON,0.1116091317789688,0.422
385,FL,WASHINGTON,0.1252698936128449,0.301
386,GA,APPLING,0.1376590884368541,0.286
387,GA,ATKINSON,0.1426821800367421,0.286
