,state,county,lat,lon,total_population,population_density_per_sqmi,percent_adults_with_obesity,percent_physically_inactive,percent_uninsured,primary_care_physicians_rate,high_school_graduation_rate,percent_some_college,percent_unemployed_CHR,percent_unemployed_CDC,median_household_income,per_capita_income,num_deaths,percent_vaccinated,eightieth_percentile_income,twentieth_percentile_income,percent_food_insecure,percent_age_65_and_older,percent_age_17_and_younger
1573,Missouri,Ripley,36.6527966920512,-90.8638717974217,13936,22.1368396314783,36.4,35.3,15.45258013,44.23474,92.105263158,44.207511139,5.2056931176,7.9,32802,17986,319,24,67270,14746,16,19.4,23.3
1574,Missouri,St. Charles,38.7819399413577,-90.6748770234336,379856,677.800642722855,29.8,22.7,6.1877703131,43.74166,92.388222465,78.079752452,2.5397955368,4.2,82048,34021,3828,55,140950,39426,9,13.2,24.4
1575,Missouri,St. Clair,38.0371915025213,-93.7759887107741,9444,13.9915152668769,36.7,29.4,15.950550279,42.72591,94.392523364,47.871116226,4.3639248876,8.6,37013,19370,167,22,76629,17285,15.7,25.7,19.1
1576,Missouri,Ste. Genevieve,37.8944191983234,-90.1945319484193,17937,35.9348839075573,34.7,29.6,10.9226689,33.62663,84.962406015,63.213367609,2.7949972811,4.4,59043,24013,247,39,108100,25292,13,16.9,22.6
1577,Missouri,St. Francois,37.8102992268697,-90.4722897506381,66230,146.556304551311,38.6,32.3,11.193106944,71.95862,93.58974359,52.405982443,3.6560519167,7.3,45584,20016,1175,45,87577,19991,14.3,15.2,21.4
1578,Missouri,St. Louis,38.6405443112614,-90.443378392409,1000560,1970.49346875686,27.9,21.9,8.0466765257,122.40074,91.454614508,78.286071931,3.0089978577,6.7,66992,36518,12558,54,133537,29179,13.8,16.5,22.4
1579,Missouri,Saline,39.1368542335554,-93.2018519373069,23214,30.7269823917059,35.8,32.3,12.801696956,57.36981,88.617886179,52.286027798,3.0376444279,4.8,43776,20446,330,49,81583,21161,13.3,16.8,23.1
1580,Missouri,Schuyler,40.4702757794613,-92.5209886915935,4396,14.3050103282125,30.9,27.5,15.040764689,66.54836,90,48.565356004,4.1476985331,6,39463,19152,62,47,73083,16811,14.9,19,25.8
1581,Missouri,Scotland,40.4525971332043,-92.147079681989,4893,11.2052804907307,32.1,35.7,22.7680798,120.89462,96.96969697,42.003853565,2.8571428571,4.9,42053,23626,60,41,78800,17000,13.5,18.6,28.3
1582,Missouri,Scott,37.0530490112978,-89.5685279645305,38994,92.8453989234516,35.5,34.9,12.013601514,49.29815,92.407809111,54.132901135,3.4170954689,6.4,44261,22034,705,41,83636,17064,16.2,16.6,24
1583,Missouri,Shannon,37.1573676864872,-91.4004698144936,8256,8.22457963361826,34.9,30.5,16.342658448,NA,92.372881356,44.523809524,4.9984572663,8.4,32715,19290,152,27,66134,14344,18.4,19.5,22.3
1584,Missouri,Shelby,39.7977723576433,-92.0766051217138,6148,12.2748091067849,28.7,24.1,13.751611517,NA,92.592592593,61.047835991,3.0483764082,5.8,44564,21521,92,37,82775,18512,13,20.1,23.6
1585,Missouri,Stoddard,36.8556015843579,-89.9443092533524,29788,36.1848374771092,35.6,38,12.466194462,37.45446,94.202898551,54.476436041,4.4385026738,8,40808,21174,546,32,80503,18370,14.6,19.2,22.2
1586,Missouri,Stone,36.7469302384975,-93.4559989514099,31197,67.229707108906,31.1,28.1,14.616544101,34.70141,93.87755102,54.084663944,4.679212381,8.2,46026,23705,594,39,86106,22188,12.7,27.3,17.5
1587,Missouri,Sullivan,40.2106068113968,-93.1115000429184,6416,9.90152080094634,30.8,34.3,15.445504364,32.10788,100,39.511873351,3.1305585201,4,41978,20579,92,31,78592,19753,11.1,18.8,23
1588,Missouri,Taney,36.6547669249421,-93.041141770664,53853,85.1511850746235,28.8,30.5,16.223645838,77.68043,95,59.173254282,5.1997912629,7.5,40887,20929,874,39,79646,19424,15.5,19.7,21.2
1589,Missouri,Texas,37.3173207994347,-91.9650564045074,25690,21.8217581312569,31,29.5,16.692811165,34.97183,91.544117647,52.236580517,4.0915625346,7.4,34824,17367,426,33,74130,14518,16.4,19.2,23.5
1590,Missouri,Vernon,37.8505852581475,-94.3424486135246,20836,25.2131852035931,28.1,25.9,13.089267803,39.14469,91.891891892,52.228047182,3.1495239092,4.6,42552,21246,365,35,84552,20764,13.5,17.5,24.5
1591,Missouri,Warren,38.7646127756104,-91.1606770560117,33290,77.6714045972974,36.1,26.3,10.497923839,17.45556,90.449438202,53.48925893,2.8075170843,6.6,62056,24870,452,50,107928,27602,11.2,16.4,24.5
1592,Missouri,Washington,37.9616919745276,-90.8774243675861,25002,32.9029774647855,31.4,33.1,12.727457043,31.97186,97.489539749,46.173884728,4.43900049,10.9,38591,18472,495,33,74466,16724,14.8,15.2,23.2
1593,Missouri,Wayne,37.1126592497073,-90.4614112291809,13341,17.5729986455156,33.9,32.8,14.967613353,30.08424,95.419847328,47.188449848,4.8478015784,9.1,33703,18378,295,14,64333,13924,15.6,21.9,21
1594,Missouri,Webster,37.280904432186,-92.8758820726389,37075,62.5672466252983,27.5,25,14.751562599,25.86318,90.060240964,55.688490085,3.1035705841,5.6,51141,20424,498,44,88617,21932,13.9,14.5,27.2
1595,Missouri,Worth,40.4790980734359,-94.4221011191851,2061,7.73031937733419,25.4,27.7,12.298776561,48.61449,97.142857143,53.316953317,2.8499580889,4.2,43119,23292,NA,31,84000,20120,12,24.1,20.1
1596,Missouri,Wright,37.2701692329468,-92.4687202275543,18378,26.9562556192743,29.2,30,16.500760404,16.36572,98.598130841,37.074829932,4.1346801347,9.1,35293,18502,367,30,67811,16054,16.7,18.7,25
1597,Missouri,St. Louis City,38.6358357328971,-90.2451204003644,316030,5101.11090853329,34.4,26.3,12.535590372,88.13256,80.219146482,72.852729145,3.8248805945,10.6,43263,25434,5708,41,89309,14868,23.3,11.4,20.2
1598,Montana,Beaverhead,45.1328413107639,-112.899101228912,9317,1.68095424743317,26.7,21.8,11.708225853,137.79945,89.47,69.085002707,3.1330557208,6.9,47674,26609,94,56,91030,18500,12.1,20,18.7
1599,Montana,Big Horn,45.423465976106,-107.489721226728,13214,2.64433690733274,37.9,25.1,19.419286095,67.36527,74.55,49.48420374,9.5919968615,16.8,40425,17352,278,40,97525,20786,20.2,11,33.5
1600,Montana,Blaine,48.4327202450183,-108.958589566437,6609,1.56347564114221,39.1,27.2,17.453686887,59.63029,81.11,62.37244898,4.2776080314,14.2,39237,17080,98,18,73023,17059,17.7,14.2,30.2
1601,Montana,Broadwater,46.3324267142488,-111.49551320722,5692,4.77383641176658,34,22.2,11.293543377,33.69272,90.91,51.653261841,3.9573820396,5.6,52840,29598,NA,41,108036,30735,9.3,20.5,20.4
1602,Montana,Carbon,45.2273797523079,-109.028145595061,10340,5.04886426940709,27.5,21.5,11.731634183,46.74645,92.78,65.364459266,3.5174047749,3.7,53661,30461,148,46,102213,25314,9.7,22.7,18.5
1603,Montana,Carter,45.5167740871139,-104.536166977417,1295,0.387669291039168,33.5,25.4,12.693156733,0,77.78,61.960784314,2.5297619048,2.7,47985,30728,NA,15,96250,17326,9.8,24.9,19.9
1604,Montana,Cascade,47.3079636069971,-111.347053674474,82049,30.4089309384909,27.3,24.5,10.082418427,68.58207,81.21,65.938430983,3.5986049461,5,50054,26578,1125,47,96939,21995,11.9,17.1,22.5
1605,Montana,Chouteau,47.8806262801208,-110.43524554337,5837,1.46934592719765,28.9,29.4,14.934921685,17.34605,85.37,68.990384615,3.022974607,3.4,44645,22247,84,26,81368,20293,13.9,18,24.5
1606,Montana,Custer,46.2526819966874,-105.57172985213,11980,3.1665130493239,32.8,26.5,8.9853499729,93.84865,92.81,70.747106278,3.0982201714,2.2,50525,26742,152,37,104434,25276,10.2,18.5,21.8
1607,Montana,Daniels,48.7837972119653,-105.548548844619,1787,1.2531444758319,26.8,26.2,10.240496509,0,93.75,57.062146893,2.1566401816,2,44659,33909,NA,9,96615,28026,7.9,24.1,19.1
1608,Montana,Dawson,47.2663895328969,-104.899503948965,9431,3.97570434651411,29,27.6,7.9768786127,44.69274,86.6,50.106337729,2.7161026083,2.2,56167,28438,104,34,106446,27706,10.7,16.9,22
1609,Montana,Deer Lodge,46.060739827209,-113.06792894746,9176,12.4558576494023,28.7,33.8,10.112009956,131.78124,75.32,56.703078451,3.5582344935,3.7,45641,23192,174,45,80096,17262,13,20.9,15.6
1610,Montana,Fallon,46.3340076334437,-104.417402579179,2913,1.79753870579071,35.1,25.9,9.1198725607,66.46726,90.91,75.690607735,1.8779342723,2.9,62029,31902,NA,12,108650,26306,9.3,15.8,25.3
1611,Montana,Fergus,47.2636138135044,-109.224494490358,11429,2.63381841777453,30.8,26,11.46254459,70.85289,90.63,64.862713888,3.7203668455,3,49147,25788,173,34,95417,24153,12.1,22.7,20.4
1612,Montana,Flathead,48.2951529243245,-114.049682219107,94696,18.6144452285785,21.9,20,10.258735265,90,87.64,63.99421867,4.7894043061,6.5,54382,27083,1138,43,101451,25261,12.1,17,22.4
1613,Montana,Gallatin,45.5406865934039,-111.170465528495,97958,37.6077979084079,17,13.1,8.1879310718,81.62508,89.66,81.478946682,2.519983742,5.3,67569,31909,654,48,118590,27708,11.3,11.2,20.5
1614,Montana,Garfield,47.2776302059112,-106.992897767643,1061,0.226876331997175,26.9,32.2,15.086646279,0,100,65.727699531,2.7100271003,0,44580,28159,NA,26,95500,22167,8.5,24,20.6
1615,Montana,Glacier,48.7051432459486,-112.994747669641,13695,4.57277960979834,36.9,31.1,19.904844291,80.64516,64.06,47.118847539,7.7892525818,10.8,37719,16284,283,18,76041,11928,20,11.1,31.7
1616,Montana,Golden Valley,46.3812158601434,-109.175178818154,730,0.621582331024988,26.2,23.8,14.358108108,121.6545,100,52.808988764,4.6070460705,2.5,38782,25714,NA,30,77875,20677,13.1,24.5,18.5
1617,Montana,Granite,46.4044895632474,-113.44037810853,3212,1.85969926070344,23.1,20,13.673036093,29.77963,88.89,52.157598499,5.3731343284,7.4,48410,26720,NA,28,84375,23600,11.7,28.4,18.5
1618,Montana,Hill,48.6282363336697,-110.111194297216,16529,5.7009094772866,38.1,27.2,12.775298163,60.74227,74.89,63.084702908,3.599106791,5.3,50136,21070,218,31,92316,20299,14.1,13.9,27.2
1619,Montana,Jefferson,46.1484660116492,-112.093819888296,11601,7.00180618401717,26.5,22.8,8.3466581388,75.68749,84.09,70.462633452,3.836589698,6.2,68381,31801,151,45,120590,28882,9.3,18.5,21
1620,Montana,Judith Basin,47.0454403638965,-110.266040432801,1981,1.05953615982523,31.2,29.5,11.784975879,0,100,74.796747967,3.3695652174,2.9,50197,28741,NA,34,88923,20750,11.6,23.7,16.3
1621,Montana,Lake,47.6459160755545,-114.089373677172,29311,19.6657185922308,29,22.3,15.303577571,69.36874,88.89,61.72419381,4.2862580891,8.8,44833,23191,426,38,91937,18711,13.6,19.6,24.5
1622,Montana,Lewis and Clark,47.1224544880099,-112.390466851116,65989,19.0800107663893,26.7,19.6,7.7014564883,92.95737,84.63,73.520249221,3.3225215061,4.1,63860,29892,830,47,111151,27793,10.7,16.1,21.8
1623,Montana,Liberty,48.5617789141958,-111.024573085636,2292,1.60280750707829,35.1,24.8,19.388830348,41.20313,90,44.175824176,2.489626556,5.5,42742,32427,NA,34,86792,23667,12.4,22.3,19
1624,Montana,Lincoln,48.5424486953222,-115.40519293432,19268,5.33340027529738,26.3,22.1,12.888436067,77.16049,93.6,52.885187388,7.382133995,11.6,40602,22404,354,19,77509,17153,14.2,24.8,18.2
1625,Montana,McCone,47.6452166537813,-105.795429305202,1678,0.635077374124924,24.8,25,16.640378549,0,94.44,75.316455696,1.8367346939,0.9,43650,28736,NA,44,87929,27389,8.4,22.8,20.6
1626,Montana,Madison,45.3006956633445,-111.920278192325,7810,2.17659873913605,24.1,19.6,13.689337276,85.62691,89.74,65.067290813,3.5427807487,4.1,53031,30030,94,23,95583,25705,10.3,26.1,15.7
1627,Montana,Meagher,46.5982371818197,-110.885724601006,1960,0.81944333396097,25.9,23,11.559348332,108.0497,92.86,64.536082474,3.8743455497,3,44572,19989,NA,15,85808,23167,12.4,22.1,21.6
1628,Montana,Mineral,47.1473036823775,-114.998476741973,4223,3.46255290747286,27.7,22.8,10.641835717,47.00353,82.86,58.606557377,7.1594877765,6.9,43458,21447,NA,28,74625,16327,15.5,26.7,18
1629,Montana,Missoula,47.0365280066785,-113.923731909605,113101,43.6169376693682,22.2,16.7,8.6359003922,102.17897,89.03,77.43691242,3.3296865338,7,56207,27956,1218,50,101941,21001,13,13.6,19.4
1630,Montana,Musselshell,46.4966268631329,-108.398199860585,4778,2.55650932199068,28,27.6,12.367802585,NA,92.31,53.591790194,4.278782532,5.8,43371,23167,NA,34,81908,18329,13.2,21.2,22.1
1631,Montana,Park,45.488456945261,-110.526456238205,15843,5.65255950746152,24.3,25.2,10.141509434,134.53189,92.26,71.681643132,3.831330764,4,61044,27597,189,29,97043,25729,11.7,19.4,19.1
1632,Montana,Petroleum,47.1175498315869,-108.25021099306,445,0.268780859929793,27,21.7,11.794871795,0,100,81.707317073,4.181184669,3.9,41009,26822,NA,28,107875,25200,12,19.8,16.9
1633,Montana,Phillips,48.2591963546875,-107.913268437043,4150,0.8073216107149,34.8,29.5,14.236220472,24.27774,96.3,62.686567164,4.5359749739,7.3,44730,22772,NA,39,76827,19833,13.2,21.1,22.2
