,state,county,infection_rate
348,FL,HOLMES,0.13151858082275578
349,FL,INDIAN RIVER,0.0960087041888909
350,FL,JACKSON,0.1637436980221485
351,FL,JEFFERSON,0.1194019373859329
352,FL,LAFAYETTE,0.21063880313464736
353,FL,LAKE,0.1026590905376473
354,FL,LEE,0.10805668998685401
355,FL,LEON,0.12701732395037843
356,FL,LEVY,0.10657060935354071
357,FL,LIBERTY,0.15740962413215226
358,FL,MADISON,0.12885956848537283
359,FL,MANATEE,0.11185037681058789
360,FL,MARION,0.10522212709154519
361,FL,MARTIN,0.09330434782608696
362,FL,MIAMI-DADE,0.20651431389725206
363,FL,MONROE,0.10431373605647465
364,FL,NASSAU,0.12911706629055006
365,FL,OKALOOSA,0.1137668574248593
366,FL,OKEECHOBEE,0.11328495541642952
367,FL,ORANGE,0.12342513412733269
368,FL,OSCEOLA,0.1447926951624879
369,FL,PALM BEACH,0.11388857339470994
370,FL,PASCO,0.09494410115047107
371,FL,PINELLAS,0.09719527054469967
372,FL,POLK,0.11970716510043779
373,FL,PUTNAM,0.11434360784208478
374,FL,ST. JOHNS,0.11201411558457261
375,FL,ST. LUCIE,0.102227556145807
376,FL,SANTA ROSA,0.11554800800811663
377,FL,SARASOTA,0.08664828400293262
378,FL,SEMINOLE,0.09471500086896441
379,FL,SUMTER,0.08088657302522277
380,FL,SUWANNEE,0.14050926447081072
381,FL,TAYLOR,0.13932032083082202
382,FL,UNION,0.1508170899783422
383,FL,VOLUSIA,0.10195125830495731
384,FL,WAKULLA,0.12415898515071579
385,FL,WALTON,0.11160913177896882
386,FL,WASHINGTON,0.12526989361284496
387,GA,APPLING,0.13765908843685412
388,GA,ATKINSON,0.14268218003674218
389,GA,BACON,0.16391974202794699
390,GA,BAKER,0.0934825543120474
391,GA,BALDWIN,0.1073735798618846
392,GA,BANKS,0.10387854840386815
393,GA,BARROW,0.13135511773185968
394,GA,BARTOW,0.14766377694035532
395,GA,BEN HILL,0.13796407185628742
396,GA,BERRIEN,0.11625509099345259
397,GA,BIBB,0.11788402901559816
398,GA,BLECKLEY,0.13524430979569643
399,GA,BRANTLEY,0.10298812078078393
400,GA,BROOKS,0.10720062107782881
401,GA,BRYAN,0.10674540086304792
