state,county,num_infected,num_hosp,num_not_hosp,percent_hosp,percent_republican,date_stay_at_home_effective,total_population,population_density_per_sqmi,percent_adults_with_obesity,percent_physically_inactive,percent_uninsured,high_school_graduation_rate,percent_some_college,percent_unemployed_CDC,median_household_income,per_capita_income,percent_vaccinated,eightieth_percentile_income,twentieth_percentile_income,percent_below_poverty,percent_age_65_and_older,percent_age_17_and_younger,total_percent_infected,total_percent_hosp
NEW JERSEY,PASSAIC,50510,8387,42123,0.1660463274599089,0.3742364041436946,0.8888888888888888,507204,2726.83868195006,0.273,0.275,0.13165138256,0.89594797399,0.54575722332,0.07,71959.0,28661.0,0.45,138436.0,23783.0,0.168,0.131,0.243,0.09958517677305384,0.016535752872611414
NEW JERSEY,SALEM,5095,698,4397,0.1369970559371933,0.5554010985285143,0.8888888888888888,64504,194.382545029601,0.365,0.29600000000000004,0.076036185183,0.87309048179,0.5761369788799999,0.094,64524.0,30295.0,0.49,127312.0,24913.0,0.138,0.171,0.223,0.07898734962172889,0.010821034354458638
NEW JERSEY,SOMERSET,17976,3054,14922,0.1698931909212283,0.4169849514933924,0.8888888888888888,331686,1098.79869305474,0.222,0.201,0.056926429751,0.94288964733,0.79597424327,0.054000000000000006,119731.0,50034.0,0.53,216529.0,48288.0,0.052000000000000005,0.141,0.23199999999999998,0.05419583582062553,0.009207503482209077
NEW JERSEY,SUSSEX,10720,1475,9245,0.1375932835820895,0.6294417613253109,0.8888888888888888,144694,278.929008436713,0.278,0.256,0.061253730331,0.94814814815,0.71016514714,0.07200000000000001,92284.0,39667.0,0.51,158829.0,42269.0,0.057999999999999996,0.147,0.215,0.07408738441124027,0.010193926493151064
NEW JERSEY,UNION,46359,7841,38518,0.1691365214952868,0.3068543754927356,0.8888888888888888,550436,5355.97475410964,0.249,0.244,0.11297647844,0.88392986524,0.63605252415,0.085,80737.0,36374.0,0.47,159379.0,31283.0,0.10800000000000001,0.132,0.23800000000000002,0.08422232557463538,0.014245071179937358
NEW JERSEY,WARREN,6847,1003,5844,0.1464875127793194,0.6064261922170769,0.8888888888888888,107095,300.400071183454,0.29600000000000004,0.284,0.07218858925,0.93385490754,0.7021484375,0.083,77571.0,35386.0,0.52,143504.0,33079.0,0.079,0.159,0.214,0.06393389047107709,0.009365516597413512
NEW MEXICO,BERNALILLO,9496,3678,5818,0.3873209772535804,0.3447801297594862,0.7222222222222222,674777,581.183682893171,0.23399999999999999,0.17,0.096581751273,0.6775773369300001,0.68057918456,0.073,51372.0,27402.0,0.42,105712.0,20897.0,0.187,0.142,0.22899999999999998,0.014072797383431859,0.0054506896352424575
NEW MEXICO,CHAVES,1366,457,909,0.3345534407027818,0.6349958068176212,0.7222222222222222,65610,10.8173922642667,0.34,0.264,0.11789553083,0.66753840993,0.52021614749,0.071,43527.0,21015.0,0.42,86480.0,17711.0,0.222,0.147,0.271,0.020819996951684194,0.006965401615607377
NEW MEXICO,CIBOLA,908,246,662,0.2709251101321586,0.3962544958452189,0.7222222222222222,27373,6.02945449921154,0.309,0.294,0.12601001338,0.6815613415699999,0.49173325985,0.163,38097.0,16885.0,0.42,81787.0,15269.0,0.27399999999999997,0.14400000000000002,0.244,0.03317137325101377,0.008986957951265846
NEW MEXICO,CURRY,949,329,620,0.3466807165437302,0.6757666417352282,0.7222222222222222,50544,35.9627511177404,0.301,0.304,0.096027510969,0.77929672131,0.61560372377,0.08900000000000001,47202.0,21502.0,0.4,84900.0,20058.0,0.21600000000000003,0.114,0.26899999999999996,0.018775720164609055,0.006509180120291232
NEW MEXICO,EDDY,901,313,588,0.3473917869034406,0.6684801952509279,0.7222222222222222,56369,13.4971478832905,0.345,0.27699999999999997,0.088484798448,0.7542814330000001,0.51203073398,0.055,58320.0,27974.0,0.4,113093.0,25254.0,0.13699999999999998,0.141,0.262,0.01598396281644166,0.0055526974046018205
NEW MEXICO,GRANT,235,109,126,0.4638297872340425,0.412770275544454,0.7222222222222222,28879,7.29050028111729,0.27399999999999997,0.191,0.077248677249,0.8567186046499999,0.59356521739,0.09300000000000001,38341.0,24882.0,0.39,81932.0,16513.0,0.215,0.244,0.209,0.00813740087953184,0.003774368918591364
NEW MEXICO,LEA,1384,382,1002,0.2760115606936416,0.7054539295392954,0.7222222222222222,68930,15.6965010794593,0.331,0.303,0.11993579996999999,0.8556733027100001,0.41237712715,0.066,51656.0,24126.0,0.25,107334.0,22861.0,0.158,0.106,0.302,0.020078340345277817,0.005541854054838241
NEW MEXICO,LUNA,439,177,262,0.4031890660592255,0.4767649074708704,0.7222222222222222,24627,8.30522427698617,0.325,0.271,0.12909556779,0.6808442677300001,0.35193466848,0.141,30570.0,15650.0,0.31,63917.0,10346.0,0.295,0.204,0.266,0.017825963373533114,0.007187233524180777
NEW MEXICO,MCKINLEY,4768,1800,2968,0.3775167785234899,0.2351748606183477,0.7222222222222222,74346,13.640155547385,0.38799999999999996,0.256,0.17380284814,0.66300635647,0.48005546075,0.157,33976.0,12882.0,0.5,76311.0,10746.0,0.381,0.106,0.305,0.06413256933796034,0.024211120974901138
NEW MEXICO,OTERO,1205,285,920,0.2365145228215767,0.5925722831505483,0.7222222222222222,65333,9.88014698242723,0.312,0.23,0.10739711425,0.7548468565299999,0.5904252155799999,0.11,42701.0,20652.0,0.35,80724.0,17754.0,0.248,0.162,0.23800000000000002,0.018443971652916596,0.004362267154424258
NEW MEXICO,SAN JUAN,4651,1710,2941,0.367662868200387,0.606072435480373,0.7222222222222222,122537,22.2262791807606,0.332,0.239,0.13985481685,0.6665021023600001,0.5630621146,0.099,46578.0,22927.0,0.49,97761.0,20111.0,0.20600000000000002,0.132,0.27,0.03795588271297649,0.013954968703330423
NEW MEXICO,SAN MIGUEL,212,120,92,0.5660377358490566,0.2151427774160543,0.7222222222222222,28350,6.00374163358319,0.29100000000000004,0.226,0.08910034602099999,0.7331152073699999,0.5703125,0.049,35292.0,16990.0,0.36,66952.0,11669.0,0.301,0.18,0.204,0.007477954144620811,0.004232804232804233
NEW MEXICO,SANDOVAL,2954,928,2026,0.3141503046716317,0.4199221916031772,0.7222222222222222,138117,37.2383795630742,0.248,0.129,0.096876456876,0.77313276434,0.62428089665,0.085,57036.0,27060.0,0.42,109410.0,26121.0,0.14400000000000002,0.15,0.247,0.021387664081901576,0.006718941187543894
NEW MEXICO,SANTA FE,1683,629,1054,0.3737373737373737,0.2006327519108547,0.7222222222222222,147320,77.2133122721229,0.14400000000000002,0.121,0.13280546416,0.68170833333,0.56443169383,0.067,60187.0,34176.0,0.42,118818.0,25934.0,0.156,0.198,0.195,0.011424110779256041,0.004269617159923975
NEW MEXICO,TAOS,316,120,196,0.379746835443038,0.1787024901703801,0.7222222222222222,32961,14.9661379403601,0.192,0.141,0.12638900321,0.72964344262,0.59154030327,0.09699999999999999,38405.0,22302.0,0.41,78978.0,14068.0,0.21899999999999997,0.223,0.191,0.009587087770395316,0.0036406662419222716
NEW MEXICO,VALENCIA,988,437,551,0.4423076923076923,0.4789431719338939,0.7222222222222222,75993,71.3073926201532,0.316,0.215,0.10879084967000001,0.7392310957799999,0.5011939801199999,0.107,46365.0,19842.0,0.39,86848.0,19385.0,0.23199999999999998,0.153,0.247,0.013001197478715145,0.005750529654047083
NEW YORK,ALBANY,2494,401,2093,0.160785886126704,0.3419151827218765,0.8333333333333334,307891,588.910708747266,0.273,0.22,0.044009381719,0.84406104844,0.7678330460799999,0.057999999999999996,64536.0,33888.0,0.52,128331.0,26572.0,0.129,0.152,0.19,0.008100269251131081,0.0013024089694080047
NEW YORK,ALLEGANY,5,1,4,0.2,0.6700727583993152,0.8333333333333334,47700,46.3421861076953,0.359,0.293,0.058537727564999996,0.87848605578,0.6136677649100001,0.081,46262.0,21478.0,0.47,85765.0,20579.0,0.171,0.168,0.205,0.00010482180293501048,2.0964360587002095e-05
NEW YORK,BROOME,564,85,479,0.150709219858156,0.4756831489915419,0.8333333333333334,197381,279.65986781305,0.28,0.23,0.053378301362,0.82947845805,0.6725552961600001,0.07400000000000001,50928.0,25880.0,0.51,100141.0,20165.0,0.174,0.17600000000000002,0.19699999999999998,0.0028574178872333203,0.00043063922059367415
NEW YORK,CATTARAUGUS,5,0,5,0.0,0.6319437758736882,0.8333333333333334,78506,60.0033837857786,0.376,0.266,0.064828015666,0.85014409222,0.56038589805,0.075,48017.0,22832.0,0.46,89971.0,20233.0,0.175,0.171,0.228,6.368939953634117e-05,0.0
NEW YORK,CAYUGA,136,19,117,0.1397058823529411,0.5240564331363801,0.8333333333333334,78783,113.917038208601,0.341,0.24600000000000002,0.050618108920999993,0.83070866142,0.59012703007,0.069,52945.0,26596.0,0.55,105036.0,25548.0,0.114,0.16899999999999998,0.205,0.0017262607415305332,0.00024116878006676568
NEW YORK,CHAUTAUQUA,75,13,62,0.1733333333333333,0.582549692075082,0.8333333333333334,131748,124.26406905056,0.33399999999999996,0.275,0.052759920195000004,0.8349769888199999,0.57884099383,0.079,45689.0,23249.0,0.51,88948.0,18667.0,0.19399999999999998,0.18,0.209,0.0005692686036979688,9.867322464098127e-05
NEW YORK,CHEMUNG,91,15,76,0.1648351648351648,0.5564107533431158,0.8333333333333334,87742,215.395740809401,0.36,0.282,0.041758673886000006,0.75774336283,0.5981715280800001,0.055999999999999994,52565.0,26196.0,0.52,101540.0,21774.0,0.159,0.168,0.21899999999999997,0.001037131590344419,0.00017095575665017893
NEW YORK,CHENANGO,125,23,102,0.184,0.5913194444444444,0.8333333333333334,49286,55.1552892398176,0.38799999999999996,0.242,0.050943495678,0.85273972603,0.56870410985,0.07,50312.0,23805.0,0.49,92417.0,21048.0,0.154,0.188,0.214,0.0025362171813496735,0.0004666639613683399
NEW YORK,CLINTON,154,23,131,0.1493506493506493,0.4500545086435135,0.8333333333333334,81505,78.5399432369909,0.353,0.265,0.053857801078,0.8706697459599999,0.54424869405,0.066,55517.0,25024.0,0.49,102703.0,22802.0,0.161,0.151,0.183,0.0018894546346849886,0.000282191276608797
NEW YORK,COLUMBIA,721,172,549,0.2385575589459084,0.4451491812827648,0.8333333333333334,61860,97.4685735907253,0.24,0.201,0.060419342899,0.82847341338,0.6247405243299999,0.055,64916.0,33864.0,0.5,117350.0,26645.0,0.127,0.207,0.18600000000000003,0.011655350792111219,0.002780472033624313
NEW YORK,CORTLAND,37,3,34,0.081081081081081,0.4890337877889745,0.8333333333333334,48713,97.6657389362356,0.35200000000000004,0.252,0.042295743173,0.87861271676,0.62000966651,0.052000000000000005,51751.0,24665.0,0.53,101611.0,24209.0,0.138,0.152,0.19699999999999998,0.0007595508385851826,6.158520312852832e-05
NEW YORK,DELAWARE,29,7,22,0.2413793103448276,0.6033751010509296,0.8333333333333334,46480,32.2227549330375,0.299,0.262,0.066193488659,0.8739130434800001,0.54384959303,0.083,47382.0,24753.0,0.47,91525.0,20200.0,0.159,0.22,0.18100000000000002,0.0006239242685025818,0.00015060240963855423
NEW YORK,DUTCHESS,1103,334,769,0.3028105167724388,0.4719706111476011,0.8333333333333334,295905,371.911904320144,0.26899999999999996,0.21100000000000002,0.053434453996000005,0.8569330199799999,0.68249981532,0.076,79604.0,35101.0,0.5,147432.0,31606.0,0.092,0.155,0.20199999999999999,0.0037275476926716344,0.0011287406431118095
