state,county,num_infected,total_percent_infected,num_hosp,num_not_hosp,percent_hosp,total_percent_hosp,percent_vaccinated,total_population,population_density_per_sqmi,percent_republican,date_stay_at_home_effective,percent_adults_with_obesity,percent_physically_inactive,percent_age_65_and_older,percent_age_17_and_younger
ALABAMA,RANDOLPH,585,0.025867786867123592,54,531,0.0923076923076923,0.0023877957108114083,0.33,22615,38.9544945458554,0.756356140178659,0.1111111111111111,0.374,0.342,0.19399999999999998,0.222
ALABAMA,RUSSELL,1182,0.020158264547377038,54,1128,0.0456852791878172,0.0009209359437887986,0.4,58636,91.4539065278078,0.4782924802658911,0.1111111111111111,0.451,0.315,0.126,0.251
ALABAMA,SHELBY,6910,0.03355167005744085,299,6611,0.0432706222865412,0.0014518016421381785,0.44,205951,262.234818984604,0.7211566950441464,0.1111111111111111,0.35,0.25,0.13,0.244
ALABAMA,ST. CLAIR,2922,0.033750693032711145,233,2689,0.0797399041752224,0.002691277028275735,0.39,86576,137.008095115931,0.8242447916666666,0.1111111111111111,0.366,0.307,0.152,0.23
ALABAMA,TALLADEGA,2439,0.030089936711203226,186,2253,0.076260762607626,0.002294681520411562,0.34,81057,110.015667719794,0.617056305564702,0.1111111111111111,0.38799999999999996,0.349,0.161,0.222
ALABAMA,TALLAPOOSA,1449,0.03537770398945261,157,1292,0.1083505866114561,0.003833194980223644,0.43,40958,57.1623727030297,0.6976290670224776,0.1111111111111111,0.36,0.3,0.195,0.215
ALABAMA,TUSCALOOSA,6838,0.033772737824182227,480,6358,0.0701959637320854,0.0023707098794395246,0.44,202471,153.192540576555,0.577061668681983,0.1111111111111111,0.34600000000000003,0.3,0.11699999999999999,0.21
ALABAMA,WALKER,2505,0.0381900507676124,233,2272,0.0930139720558882,0.003552208314911652,0.4,65593,82.9038880658283,0.82335776330076,0.1111111111111111,0.396,0.35700000000000004,0.18100000000000002,0.222
ALABAMA,WINSTON,890,0.03706325740224045,64,826,0.0719101123595505,0.002665223004206055,0.4,24013,39.1742633653114,0.8947929797343159,0.1111111111111111,0.37799999999999995,0.322,0.2,0.21
ARIZONA,APACHE,3226,0.04459126973156775,1225,2001,0.379727216367018,0.016932518729439086,0.38,72346,6.46092981529062,0.2978923393948158,0.3333333333333333,0.335,0.272,0.133,0.293
ARIZONA,COCHISE,6489,0.050625307192398016,758,5731,0.1168130682693789,0.00591369746522387,0.33,128177,20.7925210097417,0.5616714985504349,0.3333333333333333,0.298,0.247,0.198,0.223
ARIZONA,COCONINO,10134,0.07340074168501565,1439,8695,0.14199723702388,0.010422702514775756,0.39,138064,7.41535790815756,0.3530710558008831,0.3333333333333333,0.23800000000000002,0.17,0.109,0.218
ARIZONA,GILA,5632,0.10590646683841366,717,4915,0.1273082386363636,0.013482765753398898,0.38,53179,11.1767763237915,0.3864621086192332,0.3333333333333333,0.308,0.271,0.264,0.204
ARIZONA,GRAHAM,2325,0.06195209038343681,308,2017,0.1324731182795699,0.008206986597031628,0.38,37529,8.11841078405483,0.3952033881611346,0.3333333333333333,0.348,0.233,0.12300000000000001,0.278
ARIZONA,MARICOPA,269014,0.06579693676167266,49857,219157,0.1853323618845115,0.012194301694806642,0.47,4088549,444.446743803851,0.4766837560609095,0.3333333333333333,0.26899999999999996,0.204,0.138,0.25
ARIZONA,MOHAVE,14893,0.07313791257630298,2125,12768,0.1426844826428523,0.010435645217527956,0.38,203629,15.2977006966314,0.7290444441664686,0.3333333333333333,0.318,0.322,0.26899999999999996,0.187
ARIZONA,NAVAJO,6877,0.06355293921947343,1875,5002,0.2726479569579758,0.017327579036863848,0.39,108209,10.8754021429262,0.5106715640045665,0.3333333333333333,0.34,0.289,0.157,0.27899999999999997
ARIZONA,PIMA,59550,0.05935188341316685,8701,50849,0.146112510495382,0.008672052688127032,0.47,1003338,109.210301111758,0.3970875628498245,0.3333333333333333,0.25,0.198,0.17800000000000002,0.21899999999999997
ARIZONA,PINAL,25591,0.06436303457711694,5396,20195,0.2108553788441249,0.0135712920393155,0.42,397604,74.0990351837614,0.5621092121717383,0.3333333333333333,0.326,0.285,0.182,0.242
ARIZONA,SANTA CRUZ,5932,0.1274410810578555,572,5360,0.0964261631827377,0.012288654478269276,0.34,46547,37.6313295971685,0.2371447696707844,0.3333333333333333,0.26899999999999996,0.203,0.159,0.285
ARIZONA,YAVAPAI,9576,0.0438088441162746,1767,7809,0.1845238095238095,0.008083774807169718,0.42,218586,26.9078352550054,0.6232415902140673,0.3333333333333333,0.23,0.23199999999999998,0.28300000000000003,0.174
ARIZONA,YUMA,19097,0.09393876788068395,2301,16796,0.1204901293396868,0.01131869429195443,0.39,203292,36.8681664881364,0.4747217506130918,0.3333333333333333,0.369,0.263,0.174,0.262
ARKANSAS,BAXTER,1711,0.041739851678376266,212,1499,0.1239041496201052,0.005171740827478532,0.47,40992,73.9549470414219,0.7427906506121623,-1.0,0.337,0.298,0.301,0.177
ARKANSAS,BENTON,15472,0.06309153410457895,779,14693,0.0503490175801447,0.003176596759789749,0.51,245231,289.364376008057,0.628676774353466,-1.0,0.293,0.23800000000000002,0.128,0.271
ARKANSAS,BOONE,2214,0.05935497707836251,138,2076,0.062330623306233,0.0036996327176215117,0.46,37301,63.1866086673998,0.7594190304760723,-1.0,0.344,0.302,0.19699999999999998,0.222
