state,county,total_percent_infected,percent_vaccinated,percent_republican,date_stay_at_home_effective,total_population,population_density_per_sqmi,percent_adults_with_obesity,percent_physically_inactive,percent_uninsured,high_school_graduation_rate,percent_some_college,percent_unemployed_CDC,median_household_income,per_capita_income,eightieth_percentile_income,twentieth_percentile_income,percent_below_poverty,percent_age_65_and_older,percent_age_17_and_younger
MICHIGAN,BERRIEN,0.1036825053291699,0.478,0.536532881675945,0.7222222222222222,155134,273.243381390868,0.326,0.225,0.072588057644,0.8291250734000001,0.6457313298399999,0.078,51509.0,26309.0,101156.0,20690.0,0.179,0.177,0.225
MICHIGAN,BRANCH,0.1392329434473883,0.378,0.6672705655890845,0.7222222222222222,43603,86.1075814943914,0.38,0.295,0.081180702996,0.8071278826,0.51741001565,0.055,50477.0,21838.0,88598.0,24017.0,0.179,0.16699999999999998,0.237
MICHIGAN,CALHOUN,0.1113604007185503,0.425,0.5346847305694203,0.7222222222222222,134691,190.705620667553,0.33799999999999997,0.27,0.05626721827,0.88130333592,0.59114192904,0.085,48413.0,23812.0,91579.0,20495.0,0.17,0.163,0.233
MICHIGAN,CASS,0.108926950779153,0.368,0.6303606992697499,0.7222222222222222,51795,105.682435602939,0.39799999999999996,0.298,0.072215331183,0.8991031390099999,0.62382271468,0.08900000000000001,55978.0,25955.0,98464.0,27067.0,0.149,0.192,0.214
MICHIGAN,CHARLEVOIX,0.0684313200474314,0.605,0.5945575433545822,0.7222222222222222,26172,62.8615794751867,0.349,0.172,0.063711911357,0.91902834008,0.67917485265,0.075,54491.0,29581.0,98706.0,23907.0,0.124,0.214,0.203
MICHIGAN,CHEBOYGAN,0.0776626048425383,0.475,0.6350936220011703,0.7222222222222222,25579,35.7615775159635,0.303,0.265,0.08289985216,0.8675799086799999,0.58229166667,0.126,48589.0,24220.0,82948.0,21585.0,0.18600000000000003,0.247,0.179
MICHIGAN,CHIPPEWA,0.1525609788749364,0.633,0.5901915113871635,0.7222222222222222,38330,24.5952743046794,0.405,0.305,0.093312186096,0.875,0.5840060273400001,0.10099999999999999,47380.0,20839.0,82727.0,19115.0,0.177,0.162,0.191
MICHIGAN,CLARE,0.0816478190630048,0.377,0.6352229442079319,0.7222222222222222,30608,54.2372816574195,0.373,0.312,0.08009898411,0.8862068965500001,0.53917197452,0.125,39394.0,20418.0,76389.0,17279.0,0.242,0.21899999999999997,0.201
MICHIGAN,CLINTON,0.0980086688862365,0.474,0.5321854630426762,0.7222222222222222,77245,136.376858200612,0.341,0.237,0.045972279402,0.94849246231,0.76068931881,0.053,70967.0,31170.0,120204.0,31767.0,0.114,0.154,0.23199999999999998
MICHIGAN,CRAWFORD,0.0719937272792073,0.434,0.636177673874927,0.7222222222222222,13840,24.8794751302902,0.324,0.237,0.06543509966,0.88983050847,0.6304868316000001,0.109,46930.0,22348.0,84095.0,21008.0,0.172,0.237,0.18600000000000003
