state,county,total_percent_infected,percent_vaccinated,total_population,population_density_per_sqmi,percent_republican,date_stay_at_home_effective,percent_adults_with_obesity,percent_physically_inactive,percent_age_65_and_older,percent_age_17_and_younger
KANSAS,REPUBLIC,0.1473252804141501,0.446,4768,6.64649051880104,0.8003163305654409,0.3888888888888889,0.35200000000000004,0.299,0.273,0.198
KANSAS,RICE,0.1167033658383139,0.386,9949,13.6994728633272,0.7457939011566772,0.3888888888888889,0.371,0.295,0.17600000000000002,0.22899999999999998
KANSAS,RILEY,0.0971683371052915,0.34,75026,123.037636833878,0.4693943897454951,0.3888888888888889,0.253,0.166,0.08,0.17600000000000002
KANSAS,ROOKS,0.1359756097560975,0.411,5160,5.79425553275752,0.8396031417941298,0.3888888888888889,0.35200000000000004,0.299,0.204,0.226
KANSAS,RUSH,0.1465744400527009,0.445,3144,4.38027795382025,0.7964071856287425,0.3888888888888889,0.38299999999999995,0.32799999999999996,0.245,0.205
KANSAS,RUSSELL,0.1301050175029171,0.364,6988,7.88482240772349,0.8061384278108362,0.3888888888888889,0.332,0.302,0.231,0.21600000000000003
KANSAS,SALINE,0.1260696370610799,0.43,55547,77.1242425182961,0.6267222625090645,0.3888888888888889,0.345,0.28,0.156,0.243
KANSAS,SCOTT,0.1287580344184117,0.39,4958,6.9092880054439,0.8469573115349682,0.3888888888888889,0.39,0.3,0.17600000000000002,0.24
KANSAS,SEDGWICK,0.1194166366303517,0.475,508221,509.487885053716,0.5527669334632885,0.3888888888888889,0.336,0.255,0.128,0.265
KANSAS,SEWARD,0.1904517453798768,0.457,23185,36.2643477249438,0.6270345375148869,0.3888888888888889,0.359,0.251,0.08900000000000001,0.316
KANSAS,SHAWNEE,0.1088621908127208,0.536,178567,328.25580545167,0.4765403283558337,0.3888888888888889,0.36700000000000005,0.248,0.16,0.243
KANSAS,SHERIDAN,0.1753272510908369,0.317,2522,2.81486799099074,0.87117903930131,0.3888888888888889,0.237,0.261,0.23,0.233
KANSAS,SHERMAN,0.1145850937975325,0.37,6038,5.71745865386931,0.7997702909647779,0.3888888888888889,0.397,0.28800000000000003,0.192,0.23800000000000002
KANSAS,SMITH,0.0801004744627407,0.406,3701,4.13305320679071,0.8134182174338883,0.3888888888888889,0.374,0.28600000000000003,0.268,0.192
KANSAS,STAFFORD,0.0904716073147257,0.387,4284,5.40877888595538,0.7858649789029536,0.3888888888888889,0.32299999999999995,0.24100000000000002,0.205,0.24
KANSAS,STANTON,0.1001994017946161,0.408,2115,3.10868455686163,0.7723704866562009,0.3888888888888889,0.379,0.32,0.17600000000000002,0.284
KANSAS,STEVENS,0.1070191431175934,0.279,5738,7.88985180112785,0.8455843469063987,0.3888888888888889,0.37799999999999995,0.259,0.126,0.309
KANSAS,SUMNER,0.1030390611315466,0.365,23509,19.8955146567104,0.7183707056161284,0.3888888888888889,0.423,0.319,0.172,0.251
KANSAS,THOMAS,0.146071750032146,0.366,7909,7.35935878298242,0.8131991051454138,0.3888888888888889,0.33399999999999996,0.307,0.157,0.225
KANSAS,TREGO,0.149482697110239,0.341,2927,3.29070373342372,0.8279352226720648,0.3888888888888889,0.364,0.312,0.242,0.188
KANSAS,WABAUNSEE,0.1132592699466166,0.405,6960,8.76244635120432,0.7017751479289941,0.3888888888888889,0.33,0.237,0.17800000000000002,0.251
KANSAS,WALLACE,0.1297760210803689,0.319,1584,1.73370202998894,0.9035087719298246,0.3888888888888889,0.261,0.255,0.207,0.27
KANSAS,WASHINGTON,0.1061783203847576,0.451,5613,6.27318869270479,0.7934900542495479,0.3888888888888889,0.32899999999999996,0.28,0.23600000000000002,0.22899999999999998
KANSAS,WICHITA,0.1071260028315243,0.416,2168,3.01712013054714,0.8043933054393305,0.3888888888888889,0.36200000000000004,0.311,0.19699999999999998,0.29100000000000004
KANSAS,WILSON,0.1343108504398827,0.363,8956,15.7007540166589,0.7763854079643553,0.3888888888888889,0.397,0.375,0.204,0.23800000000000002
