state,county,num_infected,total_percent_infected,num_hosp,num_not_hosp,percent_hosp,total_percent_hosp,percent_vaccinated,total_population,population_density_per_sqmi,percent_uninsured,high_school_graduation_rate,percent_some_college,percent_unemployed_CDC,median_household_income,per_capita_income,eightieth_percentile_income,twentieth_percentile_income,percent_below_poverty
ALABAMA,MADISON,9491,0.027119234912407527,448,9043,0.0472026130017911,0.0012800987504750366,0.45,349973,436.588488141541,0.094393471314,0.93194374686,0.73195343377,0.073,63755.0,33264.0,130336.0,24871.0,0.133
ALABAMA,MARION,949,0.031383312940242734,82,867,0.0864067439409905,0.002711729885247528,0.39,30239,40.7373540946116,0.11408083442,0.90217391304,0.55606441129,0.076,37887.0,20998.0,74517.0,15563.0,0.18600000000000003
ALABAMA,MARSHALL,3313,0.035045592062115216,149,3164,0.0449743434953214,0.001576152495398481,0.43,94534,167.067902120766,0.15643576987,0.9228934817200001,0.52029932909,0.07200000000000001,46233.0,21767.0,90033.0,18310.0,0.205
ALABAMA,MOBILE,14903,0.03597229966376291,1416,13487,0.0950144266255116,0.003417887426953518,0.41,414291,336.98647823568,0.11719890151,0.8370992037899999,0.59526485353,0.087,43598.0,23318.0,95084.0,18037.0,0.195
ALABAMA,MONROE,455,0.020705346985210465,36,419,0.0791208791208791,0.0016382252559726963,0.37,21975,21.4246648551755,0.12789735099,0.88030888031,0.40808902203999997,0.218,39556.0,16556.0,75904.0,9034.0,0.321
ALABAMA,MONTGOMERY,8312,0.0365536166619758,751,7561,0.0903512993262752,0.003302666760484098,0.38,227392,289.906543288055,0.11005422221,0.81608133087,0.62194804773,0.084,49640.0,26255.0,100500.0,18312.0,0.213
ALABAMA,MORGAN,4112,0.034394211869014264,197,3915,0.047908560311284,0.0016477771736857513,0.44,119555,206.357195308012,0.11560252216,0.90196078431,0.55908753459,0.08900000000000001,52797.0,24415.0,96011.0,20893.0,0.163
ALABAMA,PIKE,985,0.029600024040628663,40,945,0.0406091370558375,0.001202031433121976,0.38,33277,49.5117075946977,0.12916650758,0.8728522336800001,0.59649842703,0.09699999999999999,37259.0,20180.0,83247.0,11972.0,0.257
ALABAMA,RANDOLPH,585,0.025867786867123592,54,531,0.0923076923076923,0.0023877957108114083,0.33,22615,38.9544945458554,0.13227662455,0.9180887372,0.49543831812999994,0.08,40546.0,19584.0,76728.0,15073.0,0.20600000000000002
ALABAMA,RUSSELL,1182,0.020158264547377038,54,1128,0.0456852791878172,0.0009209359437887986,0.4,58636,91.4539065278078,0.11304654004999999,0.8814589665699999,0.61467441149,0.094,39104.0,20760.0,82735.0,15915.0,0.215
